words@smu1987f	@smu1987f	92.272	92.448	Ну
words@smu1987f	@smu1987f	92.448	92.624	да
words@smu1987f	@smu1987f	92.624	92.8	/
words@smu1987f	@smu1987f	92.8	92.977	/
words@smu1987f	@smu1987f	93.442	93.831	Ну
words@smu1987f	@smu1987f	93.831	94.22	этот
words@smu1987f	@smu1987f	94.22	94.609	город
words@smu1987f	@smu1987f	94.609	94.998	нонечно
words@smu1987f	@smu1987f	94.998	95.387	такой
words@smu1987f	@smu1987f	95.387	95.776	красивый
words@smu1987f	@smu1987f	95.776	96.165	/
words@smu1987f	@smu1987f	96.165	96.557	/
words@smu1987f	@smu1987f	96.557	96.862	Я
words@smu1987f	@smu1987f	96.862	97.167	впервые
words@smu1987f	@smu1987f	97.167	97.472	сюда
words@smu1987f	@smu1987f	97.472	97.777	попала
words@smu1987f	@smu1987f	97.777	98.082	и
words@smu1987f	@smu1987f	98.082	98.387	/
words@smu1987f	@smu1987f	98.387	98.692	я
words@smu1987f	@smu1987f	98.692	98.997	все
words@smu1987f	@smu1987f	98.997	99.302	спрашиваю
words@smu1987f	@smu1987f	99.302	99.607	почему
words@smu1987f	@smu1987f	99.607	99.912	почему
words@smu1987f	@smu1987f	99.912	100.217	так
words@smu1987f	@smu1987f	100.217	100.522	долго
words@smu1987f	@smu1987f	100.522	100.827	я
words@smu1987f	@smu1987f	100.827	101.132	/
words@smu1987f	@smu1987f	101.132	101.437	мама
words@smu1987f	@smu1987f	101.437	101.742	я
words@smu1987f	@smu1987f	101.742	102.047	помню
words@smu1987f	@smu1987f	102.047	102.352	два
words@smu1987f	@smu1987f	102.352	102.657	года
words@smu1987f	@smu1987f	102.657	102.962	назад
words@smu1987f	@smu1987f	102.962	103.267	все
words@smu1987f	@smu1987f	103.267	103.572	меня
words@smu1987f	@smu1987f	103.572	103.877	/
words@smu1987f	@smu1987f	103.877	104.182	мне
words@smu1987f	@smu1987f	104.182	104.487	говорила
words@smu1987f	@smu1987f	104.487	104.792	/
words@smu1987f	@smu1987f	104.792	105.097	давай
words@smu1987f	@smu1987f	105.097	105.402	приезжай
words@smu1987f	@smu1987f	105.402	105.707	со
words@smu1987f	@smu1987f	105.707	106.012	мной
words@smu1987f	@smu1987f	106.012	106.317	/
words@smu1987f	@smu1987f	106.317	106.631	/
words@smu1987f	@smu1987f	106.632	106.924	Но
words@smu1987f	@smu1987f	106.924	107.216	не
words@smu1987f	@smu1987f	107.216	107.508	получалось
words@smu1987f	@smu1987f	107.508	107.8	/
words@smu1987f	@smu1987f	107.8	108.092	потому
words@smu1987f	@smu1987f	108.092	108.384	что
words@smu1987f	@smu1987f	108.384	108.676	такой
words@smu1987f	@smu1987f	108.676	108.968	график
words@smu1987f	@smu1987f	108.968	109.26	тяжелый
words@smu1987f	@smu1987f	109.26	109.552	/
words@smu1987f	@smu1987f	109.552	109.844	никогда
words@smu1987f	@smu1987f	109.844	110.136	вот
words@smu1987f	@smu1987f	110.136	110.428	нет
words@smu1987f	@smu1987f	110.428	110.72	возможности
words@smu1987f	@smu1987f	110.72	111.012	/
words@smu1987f	@smu1987f	111.012	111.304	всегда
words@smu1987f	@smu1987f	111.304	111.596	думаешь
words@smu1987f	@smu1987f	111.596	111.888	о
words@smu1987f	@smu1987f	111.888	112.18	теннисе
words@smu1987f	@smu1987f	112.18	112.472	/
words@smu1987f	@smu1987f	112.472	112.764	всегда
words@smu1987f	@smu1987f	112.764	113.056	думаешь
words@smu1987f	@smu1987f	113.056	113.348	о
words@smu1987f	@smu1987f	113.348	113.64	тренировок
words@smu1987f	@smu1987f	113.64	113.932	и
words@smu1987f	@smu1987f	113.932	114.224	так
words@smu1987f	@smu1987f	114.224	114.516	чтобы
words@smu1987f	@smu1987f	114.516	114.808	приехать
words@smu1987f	@smu1987f	114.808	115.1	и
words@smu1987f	@smu1987f	115.1	115.392	не
words@smu1987f	@smu1987f	115.392	115.684	только
words@smu1987f	@smu1987f	115.684	115.976	сыграть
words@smu1987f	@smu1987f	115.976	116.268	один
words@smu1987f	@smu1987f	116.268	116.56	матч
words@smu1987f	@smu1987f	116.56	116.852	но
words@smu1987f	@smu1987f	116.852	117.144	/
words@smu1987f	@smu1987f	117.144	117.436	и
words@smu1987f	@smu1987f	117.436	117.728	сходить
words@smu1987f	@smu1987f	117.728	118.02	в
words@smu1987f	@smu1987f	118.02	118.312	музеи
words@smu1987f	@smu1987f	118.312	118.604	/
words@smu1987f	@smu1987f	118.604	118.896	сходить
words@smu1987f	@smu1987f	118.896	119.188	на
words@smu1987f	@smu1987f	119.188	119.48	оперу
words@smu1987f	@smu1987f	119.48	119.772	и
words@smu1987f	@smu1987f	119.772	120.064	эм
words@smu1987f	@smu1987f	120.064	120.356	побыть
words@smu1987f	@smu1987f	120.356	120.648	в
words@smu1987f	@smu1987f	120.648	120.94	этом
words@smu1987f	@smu1987f	120.94	121.232	городе
words@smu1987f	@smu1987f	121.232	121.524	это
words@smu1987f	@smu1987f	121.524	121.816	было
words@smu1987f	@smu1987f	121.816	122.108	/
words@smu1987f	@smu1987f	122.108	122.4	замечательно
words@smu1987f	@smu1987f	122.4	122.692	но
words@smu1987f	@smu1987f	122.692	122.984	к
words@smu1987f	@smu1987f	122.984	123.276	сожалению
words@smu1987f	@smu1987f	123.276	123.568	я
words@smu1987f	@smu1987f	123.568	123.86	не
words@smu1987f	@smu1987f	123.86	124.152	смогла
words@smu1987f	@smu1987f	124.152	124.444	еще
words@smu1987f	@smu1987f	124.444	124.736	сыграть
words@smu1987f	@smu1987f	124.736	125.028	как
words@smu1987f	@smu1987f	125.028	125.32	я
words@smu1987f	@smu1987f	125.32	125.612	хотела
words@smu1987f	@smu1987f	125.612	125.904	/
words@smu1987f	@smu1987f	125.904	126.259	/
words@smu1987f	@smu1987f	129.894	130.118	Ну
words@smu1987f	@smu1987f	130.118	130.342	надеюсь
words@smu1987f	@smu1987f	130.342	130.566	не
words@smu1987f	@smu1987f	130.566	130.79	только
words@smu1987f	@smu1987f	130.79	131.014	играть
words@smu1987f	@smu1987f	131.014	131.238	в
words@smu1987f	@smu1987f	131.238	131.462	теннис
words@smu1987f	@smu1987f	131.462	131.686	а
words@smu1987f	@smu1987f	131.686	131.91	как
words@smu1987f	@smu1987f	131.91	132.134	/
words@smu1987f	@smu1987f	132.134	132.358	может
words@smu1987f	@smu1987f	132.358	132.582	быть
words@smu1987f	@smu1987f	132.582	132.806	как
words@smu1987f	@smu1987f	132.806	133.03	туристка
words@smu1987f	@smu1987f	133.03	133.254	/
words@smu1987f	@smu1987f	133.254	133.483	/
words@smu1987f	@smu1987f	139.22	139.38	Играть
words@smu1987f	@smu1987f	139.38	139.54	?
words@smu1987f	@smu1987f	139.54	139.7	/
words@smu1987f	@smu1987f	139.7	139.862	/
words@smu1987f	@smu1987f	141.477	141.7	Ну
words@smu1987f	@smu1987f	141.7	141.923	не
words@smu1987f	@smu1987f	141.923	142.146	смотреть
words@smu1987f	@smu1987f	142.146	142.369	/
words@smu1987f	@smu1987f	142.369	142.593	/
words@smu1987f	@smu1987f	145.118	145.469	Хорошо
words@smu1987f	@smu1987f	145.469	145.82	/
words@smu1987f	@smu1987f	145.82	146.171	/
words@smu1987f	@smu1987f	159.758	159.89	Да
words@smu1987f	@smu1987f	159.89	160.022	/
words@smu1987f	@smu1987f	160.022	160.156	/
words@smu1987f	@smu1987f	164.631	164.848	Я
words@smu1987f	@smu1987f	164.848	165.065	не
words@smu1987f	@smu1987f	165.065	165.282	помню
words@smu1987f	@smu1987f	165.282	165.499	когда
words@smu1987f	@smu1987f	165.499	165.716	я
